,item,volume (m3),pièce
0,armoire 1 porte,0.24,salon
1,balançoire démontée,1.1,divers-jardin
2,banc - coffre de lit,0.2,chambre
3,barbecue non pliable,0.68,divers-jardin
4,barbecue plié,0.24,divers-jardin
5,bibliothèque,1.5,salon
6,bibliothèque,1.5,bureau
7,buffet,2.0,salle à manger
8,bureau,1.2,bureau
9,canape angle + meridienne / 3 places,2.9,salon
10,canape droit 1 place,0.8,salon
11,chaise,0.2,cuisine
12,chaise de jardin,0.25,divers-jardin
13,chaise haute,0.3,cuisine
14,commode 6 tiroirs,1.2,salon
15,congélateur,1.0,cuisine
16,cuisinière,0.5,cuisine
17,etagere murale,0.8,bureau
18,fauteuil,0.6,salon
19,fauteuil bureau,0.6,bureau
20,four micro-ondes,0.5,cuisine
21,four seul,0.7,cuisine
22,frigo américain,2.0,cuisine
23,lampe de chevet,0.13,chambre
24,lampe sur pied / luminaire,0.25,salon
25,lave-linge,0.5,bureau
26,lave-vaisselle,0.5,cuisine
27,lit 1 place,1.0,chambre
28,lit 2 places,2.0,chambre
29,lit superposé,2.0,chambre
30,matelas 1 place,0.6,chambre
31,matelas 2 places 140*200,0.7,chambre
32,meridienne seule,1.26,salon
33,meuble tele / hi-fi,0.5,salon
34,ordianteur,0.1,bureau
35,parasol,0.15,divers-jardin
36,piano,2.3,salon
37,placard,0.5,cuisine
38,plaques de cuisson,0.02,cuisine
39,pouf,0.3,salon
40,réfrigérateur,1.5,cuisine
41,secrétaire - coiffeuse,1.0,chambre
42,table 2 personnes,0.41,salle à manger
43,table 4 personnes,1.4,salle à manger
44,table basse,0.3,salon
45,table de chevet,0.25,chambre
46,table de cuisine,0.7,cuisine
47,table de jardin,0.8,divers-jardin
48,table de ping pong,2.0,divers-jardin
49,téléviseur,0.3,salon
